id,Predicted
114982,349563.74971163075
95653,505094.3028728508
40303,334947.7379859888
109506,250714.64239734918
100149,462473.49412033247
7610,306682.19103044015
61101,311574.57257617684
68167,485665.5989243432
65701,369890.13011635875
56039,270582.9372372114
81919,439039.09033735935
99768,429064.80426053924
124053,768767.1627711738
3942,378603.2062426975
118904,519334.98948729574
30060,381112.1059969109
185729,539519.3858331282
46357,746355.7991437332
20662,410326.05612442526
102274,474035.5405569932
53369,193973.10062407216
9719,360747.28404737223
20145,311872.32719654014
159051,580095.876760419
31481,304401.8535330427
142247,396619.12072622596
29119,352774.150294005
151448,432454.49088344804
60594,289051.3974497536
83400,539390.7698607557
40168,295079.7821299165
52407,385210.01389766537
127232,487389.2076468073
131188,411198.5271801941
952,214898.28724924673
166230,463299.45418906515
144844,411080.7730364839
33207,295975.8634179967
28355,715153.7766197782
179918,682044.8814582012
162451,609532.2951034671
19390,273947.2102147241
114861,437815.4984938014
132259,392492.9651515895
180033,687742.6962082342
97052,485669.01592000946
94224,430425.9865354428
32295,485135.9420040317
171908,713598.2656540924
80236,509153.87902956404
156193,440530.9754592264
54494,299159.72761722305
174530,571700.5471423503
143835,340924.34655527456
26275,354570.43167116924
61627,685101.9720303679
49813,270699.9109276887
3466,496685.641896251
117691,503661.4292377049
132738,558593.9446344397
114211,577209.2268712891
116741,513596.09750616975
39246,400614.32062587026
150011,349427.61973333725
182319,522062.221273252
32441,344923.7656878264
18842,336071.16788284713
99428,389440.386386341
96435,418135.29647287115
134803,384074.67145369336
171636,586429.4239840633
115944,513842.0112554185
149001,537835.2200310378
19084,380551.3328659359
178128,655238.956950803
74818,387042.0256064816
49603,251510.15646282837
86262,700826.766184696
14520,291548.6120426624
57209,817029.0639985534
148575,632979.8664118748
33,145360.01445243083
180401,639712.5717401678
87114,460066.19265093084
16450,373378.5276935495
28848,354000.77076318965
11519,279639.2364466775
7202,270482.02451326203
2843,255818.15278577845
156073,487470.59596801316
132217,432488.93143134343
140349,528865.5816406743
34614,317549.1401440556
